Time resolution is 1 ps
Time = 0, clk = 0, reset = 1, read_en = 0, write_en = 0, data_in = 00000000, data_out = xxxxxxxx, full = x, empty = x
Time = 5, clk = 1, reset = 1, read_en = 0, write_en = 0, data_in = 00000000, data_out = xxxxxxxx, full = 0, empty = 1
Time = 10, clk = 0, reset = 0, read_en = 0, write_en = 0, data_in = 00000000, data_out = xxxxxxxx, full = 0, empty = 1
Time = 15, clk = 1, reset = 0, read_en = 0, write_en = 0, data_in = 00000000, data_out = xxxxxxxx, full = 0, empty = 1
Time = 20, clk = 0, reset = 0, read_en = 0, write_en = 1, data_in = 00000001, data_out = xxxxxxxx, full = 0, empty = 1
Time = 25, clk = 1, reset = 0, read_en = 0, write_en = 1, data_in = 00000001, data_out = xxxxxxxx, full = 0, empty = 0
Time = 30, clk = 0, reset = 0, read_en = 0, write_en = 0, data_in = 00000001, data_out = xxxxxxxx, full = 0, empty = 0
Time = 35, clk = 1, reset = 0, read_en = 0, write_en = 0, data_in = 00000001, data_out = xxxxxxxx, full = 0, empty = 0
Time = 40, clk = 0, reset = 0, read_en = 0, write_en = 1, data_in = 00000010, data_out = xxxxxxxx, full = 0, empty = 0
Time = 45, clk = 1, reset = 0, read_en = 0, write_en = 1, data_in = 00000010, data_out = xxxxxxxx, full = 0, empty = 0
Time = 50, clk = 0, reset = 0, read_en = 0, write_en = 0, data_in = 00000010, data_out = xxxxxxxx, full = 0, empty = 0
Time = 55, clk = 1, reset = 0, read_en = 0, write_en = 0, data_in = 00000010, data_out = xxxxxxxx, full = 0, empty = 0
Time = 60, clk = 0, reset = 0, read_en = 0, write_en = 1, data_in = 00000011, data_out = xxxxxxxx, full = 0, empty = 0
Time = 65, clk = 1, reset = 0, read_en = 0, write_en = 1, data_in = 00000011, data_out = xxxxxxxx, full = 0, empty = 0
Time = 70, clk = 0, reset = 0, read_en = 0, write_en = 0, data_in = 00000011, data_out = xxxxxxxx, full = 0, empty = 0
Time = 75, clk = 1, reset = 0, read_en = 0, write_en = 0, data_in = 00000011, data_out = xxxxxxxx, full = 0, empty = 0
Time = 80, clk = 0, reset = 0, read_en = 0, write_en = 1, data_in = 00000100, data_out = xxxxxxxx, full = 0, empty = 0
Time = 85, clk = 1, reset = 0, read_en = 0, write_en = 1, data_in = 00000100, data_out = xxxxxxxx, full = 1, empty = 0
Time = 90, clk = 0, reset = 0, read_en = 0, write_en = 0, data_in = 00000100, data_out = xxxxxxxx, full = 1, empty = 0
Time = 95, clk = 1, reset = 0, read_en = 0, write_en = 0, data_in = 00000100, data_out = xxxxxxxx, full = 1, empty = 0
Time = 100, clk = 0, reset = 0, read_en = 0, write_en = 1, data_in = 00000101, data_out = xxxxxxxx, full = 1, empty = 0
Time = 105, clk = 1, reset = 0, read_en = 0, write_en = 1, data_in = 00000101, data_out = xxxxxxxx, full = 1, empty = 0
Time = 110, clk = 0, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = xxxxxxxx, full = 1, empty = 0
Time = 115, clk = 1, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = xxxxxxxx, full = 1, empty = 0
Time = 120, clk = 0, reset = 0, read_en = 1, write_en = 0, data_in = 00000101, data_out = xxxxxxxx, full = 1, empty = 0
Time = 125, clk = 1, reset = 0, read_en = 1, write_en = 0, data_in = 00000101, data_out = 00000001, full = 0, empty = 0
Time = 130, clk = 0, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = 00000001, full = 0, empty = 0
Time = 135, clk = 1, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = 00000001, full = 0, empty = 0
Time = 140, clk = 0, reset = 0, read_en = 1, write_en = 0, data_in = 00000101, data_out = 00000001, full = 0, empty = 0
Time = 145, clk = 1, reset = 0, read_en = 1, write_en = 0, data_in = 00000101, data_out = 00000010, full = 0, empty = 0
Time = 150, clk = 0, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = 00000010, full = 0, empty = 0
Time = 155, clk = 1, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = 00000010, full = 0, empty = 0
Time = 160, clk = 0, reset = 0, read_en = 1, write_en = 0, data_in = 00000101, data_out = 00000010, full = 0, empty = 0
Time = 165, clk = 1, reset = 0, read_en = 1, write_en = 0, data_in = 00000101, data_out = 00000011, full = 0, empty = 0
Time = 170, clk = 0, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = 00000011, full = 0, empty = 0
Time = 175, clk = 1, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = 00000011, full = 0, empty = 0
Time = 180, clk = 0, reset = 0, read_en = 1, write_en = 0, data_in = 00000101, data_out = 00000011, full = 0, empty = 0
Time = 185, clk = 1, reset = 0, read_en = 1, write_en = 0, data_in = 00000101, data_out = 00000100, full = 0, empty = 1
Time = 190, clk = 0, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = 00000100, full = 0, empty = 1
Time = 195, clk = 1, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = 00000100, full = 0, empty = 1
Time = 200, clk = 0, reset = 0, read_en = 1, write_en = 0, data_in = 00000101, data_out = 00000100, full = 0, empty = 1
Time = 205, clk = 1, reset = 0, read_en = 1, write_en = 0, data_in = 00000101, data_out = 00000100, full = 0, empty = 1
Time = 210, clk = 0, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = 00000100, full = 0, empty = 1
Time = 215, clk = 1, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = 00000100, full = 0, empty = 1
Time = 220, clk = 0, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = 00000100, full = 0, empty = 1
Time = 225, clk = 1, reset = 0, read_en = 0, write_en = 0, data_in = 00000101, data_out = 00000100, full = 0, empty = 1
$finish called at time : 230 ns : File "/home/ykrcl/Projects/fpga/MemController/MemController.srcs/sim_1/new/TestBuffer.v" Line 97
